SYZSHM00 ,"  uxlst upr upr=SYZSHM00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSHM00 ,"Mise a dispo - Emission"
SYZSHE00 ,"  uxlst upr upr=SYZSHE00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSHE00 ,"Transfert - Emission Reporting Journalier"
SYZSHU89 ,"  uxlst upr upr=SYZSHU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSHU89 ,"Poste de fin - Emission"
SYZSIU09 ,"  uxlst upr upr=SYZSIU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSIU09 ,"Poste de début - Emission"
SYZSIC00 ,"  uxlst upr upr=SYZSIC00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSIC00 ,"Collecte - Emission Reporting Journalier"
SYZSIM00 ,"  uxlst upr upr=SYZSIM00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSIM00 ,"Mise a dispo - Emission"
SYZSIE00 ,"  uxlst upr upr=SYZSIE00  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSIE00 ,"Transfert - Emission Reporting Journalier"
SYZSIU89 ,"  uxlst upr upr=SYZSIU89  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSIU89 ,"Poste de fin - Emission"
SYZSNU09 ,"  uxlst upr upr=SYZSNU09  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSNU09 ,"Poste de début - RECEPTION"
SYZSNHLD ,"  uxlst upr upr=SYZSNHLD  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSNHLD ,"hold ressource   "
SYZSNREB ,"  uxlst upr upr=SYZSNREB  | sed 1d | sed 1d | sed 1d| sed 1d | awk '{print $3,$4,$5,$6,$7}'"
SYZSNREB ,"Rebond - RECEPTION - APAT"
